word,pos,phonetic,chinese,definition_en,synonym1,synonym2,synonym3,easy_sentence,part3_sentence,sentence_cn_easy,sentence_cn_part3
trick,n.,/trɪk/,计谋,a clever act done to surprise,joke,stunt,magic act,He did a card ______ for us.,A simple ______ can make learning fun.,他给我们变了个纸牌戏法。,简单的戏法能让学习变有趣。
umbrella,n.,/ʌmˈbrɛlə/,伞,a thing to keep off the rain,rain shield,parasol,brolly,Take an ______ in case of rain.,A small ______ fits in every school bag.,带上伞以防下雨。,小伞能放进每个书包。
volleyball,n.,/ˈvɒlɪˌbɔːl/,排球,a game with a ball over a net,net game,ball game,team sport,We played ______ on the beach.,______ is easy to learn and needs no goals.,我们在沙滩打排球。,排球易学且不需要球门。
white water rafting,n.,/waɪt/ /ˈwɔːtə/ /ˈrɑːftɪŋ/,激流漂筏,boating on rough river water,river rafting,rapids sport,rafting,They tried ______ on holiday.,______ brings adventure tourists to wild rivers.,他们假期试了激流泛舟。,激流泛舟为野河带来探险游客。
windsurfing,n.,/ˈwɪndˌsɜːfɪŋ/,风帆冲浪（运动）,a board with a sail on water,sailboarding,board sailing,water sport,______ is popular by the warm sea.,"______ needs wind, water and good balance.",风帆冲浪在温暖的海边很流行。,风帆冲浪需要风、水和良好平衡。
winner,n.,/ˈwɪnə/,优胜者,the person who wins a game,champion,victor,first,He was the ______ of the race.,The ______ of a fair game earns real respect.,他是比赛的获胜者。,公平比赛的获胜者赢得真正的尊重。
a variety of,phr.,/ə/ /vəˈraɪəti/ /ɒv/,各种各样的,many different kinds,many kinds of,various,all sorts of,We sell ______ fresh fruits.,A city offers ______ jobs to its people.,我们卖各种各样的新鲜水果。,城市为居民提供各种各样的岗位。
adult,n.,/ˈædʌlt/,成年人,a grown-up person,grown-up,mature person,parent,An ______ must sign the form.,An ______ should model good habits for children.,成年人必须签署表格。,成年人应为孩子树立好习惯的榜样。
airport,n.,/ˈeəpɔːt/,机场,a place where planes land and take off,airfield,terminal,aerodrome,We waited at the ______ for hours.,A busy ______ connects a city to the world.,我们在机场等了几个小时。,繁忙的机场把城市与世界相连。
all over the world,phr.,/ɔːl/ /ˈəʊvə/ /ðə/ /wɜːld/,全世界,in many different countries,worldwide,everywhere,globally,People use phones ______.,Climate change is a problem ______.,世界各地的人都使用手机。,气候变化是个全世界的问题。
all the time,phr.,/ɔːl/ /ðə/ /taɪm/,一直,very often; almost always,always,constantly,every moment,He smiles ______ at work.,Cities change ______ as new people arrive.,他工作时总是微笑。,随着新人到来，城市一直在变化。
allow,v.,/əˈlaʊ/,允许,to let someone do something,permit,let,authorise,My parents ______ me to go out.,Laws should ______ people to speak freely.,父母允许我出去。,法律应允许人们自由表达。
art gallery,n.,/ɑːt/ /ˈɡæləri/,艺术画廊,a place that shows works of art,gallery,museum,exhibition space,We visited an ______ on Sunday.,A free ______ opens art to everyone.,我们周日参观了一个美术馆。,免费美术馆让人人接触艺术。
attend,v.,/əˈtɛnd/,出席；参加,to go to an event or place,go to,be present at,join,She will ______ the meeting at noon.,Most children ______ school five days a week.,她将参加中午的会议。,多数孩子每周上学五天。
attractions,n.,/əˈtrækʃənz/,景点；吸引点,interesting places to visit,sights,things to see,highlights,The city has many famous ______.,Good ______ bring money to a town.,这座城市有许多著名景点。,好的景点为城镇带来收入。
basic,adj.,/ˈbeɪsɪk/,基本的；基础的,simple and most important,simple,key,elementary,These are the ______ rules of the road.,Everyone needs ______ reading and maths.,这些是道路的基本规则。,人人需要基本的读写与算术。
basics,n.,/ˈbeɪsɪks/,基础知识,the simplest facts to start with,fundamentals,essentials,foundations,Learn the ______ before hard parts.,Schools should teach the ______ first.,先学基础知识。,学校应先教基础。
be interested in,phr.,/biː/ /ˈɪntrɛstɪd/ /ɪn/,对……有兴趣,to like learning or doing,care about,like,enjoy,I ______ music and art.,Many students ______ science after a good trip.,我对音乐和艺术感兴趣。,许多学生在一次好出游后对科学产生兴趣。
beach,n.,/biːʧ/,海滩,land by the edge of the sea,shore,coast,sands,We walked on the ______ at sunset.,A clean ______ is a city's natural wealth.,日落时我们在海滩散步。,干净的海滩是城市的自然财富。
beginner,n.,/bɪˈɡɪnə/,初学者,a person just starting to learn,novice,learner,starter,He is a ______ at tennis.,A ______ needs patient teachers and easy tasks.,他是网球初学者。,初学者需要耐心的老师和简单的任务。
bored,adj.,/bɔːd/,感到厌倦的,feeling that there is nothing to do,uninterested,restless,weary,I felt ______ at home alone.,______ teens may spend too much time on screens.,独自在家我感到无聊。,无聊的青少年可能在屏幕上花太多时间。
British,adj.,/ˈbrɪtɪʃ/,英国的,from or of Britain,from the UK,English,of Britain,He is ______ and lives in London.,______ cities mix old history with new tech.,他是英国人，住在伦敦。,英国城市把古老历史与新技术融合。
camera,n.,/ˈkæmərə/,照相机,a tool used to take photos,photographer,recorder,lens,I bought a new ______ for the trip.,A phone ______ lets students record their work.,我为旅行买了新相机。,手机相机让学生记录学习过程。
castle,n.,/ˈkɑːsəl/,城堡,a large old strong building,fort,palace,keep,We visited the old ______ by the river.,A ______ tells a city's long story.,我们参观了河边那座古老的城堡。,城堡讲述城市悠久的故事。
century,n.,/ˈsɛnʧəri/,世纪,a period of one hundred years,100 years,age,era,The town is over a ______ old.,A ______ of change can reshape a whole society.,这座小镇有一百多年历史。,百年的变迁能重塑整个社会。
change,v.,/ʧeɪnʤ/,找给的零钱；找头,to make something different,alter,shift,vary,We must ______ our plan for rain.,Cities must ______ to meet climate goals.,我们因雨必须改变计划。,城市必须改变以实现气候目标。
chef,n.,/ʃɛf/,厨师,a cook in a restaurant,cook,head cook,kitchen chief,The ______ made a great meal.,A good ______ turns simple food into joy.,厨师做了一顿美餐。,好厨师把简单食材变成享受。
city break,n.,/ˈsɪti/ /breɪk/,城市假期,a short visit to a city,short city trip,urban break,weekend trip,We had a ______ in Paris.,A ______ refreshes busy workers quickly.,我们在巴黎度了城市短假。,城市短假让忙碌的职员迅速恢复。
cookery,n.,/ˈkʊkəri/,烹饪,the skill or art of cooking,cooking,cuisine,kitchen skill,She learnt ______ at school.,______ classes teach children real life skills.,她在学校学了烹饪。,烹饪课教孩子真实的生活技能。
delicious,adj.,/dɪˈlɪʃəs/,美味的,tasting very good,tasty,yummy,appetising,The soup was ______ and hot.,A ______ school meal helps children eat well.,汤又美味又热。,美味的校餐帮助孩子吃得好。
demonstration,n.,/ˌdɛmənˈstreɪʃən/,示范,showing how something works,demo,show,display,We watched a science ______.,A clear ______ helps students learn fast.,我们观看了科学演示。,清晰的演示帮助学生快速学习。
design,v.,/dɪˈzaɪn/,设计,to plan how something will look,plan,create,draw,He will ______ the new poster.,"Good cities ______ space for people, not only cars.",他将设计新海报。,好的城市为人而非仅为车设计空间。
Eiffel Tower,n.,/ˈaɪfəl/ /ˈtaʊə/,埃菲尔铁塔,a tall tower in Paris,Paris tower,French landmark,iron tower,We saw the ______ at night.,The ______ shows how old cities still attract tourists.,我们夜晚看了埃菲尔铁塔。,埃菲尔铁塔展示老城仍吸引游客。
energy,n.,/ˈɛnəʤi/,精力；活力,power to do work or move,power,strength,force,Solar panels make clean ______.,Saving ______ is key to a greener city.,太阳能板产生清洁能源。,节约能源是更绿色城市的关键。
Europe,n.,/ˈjʊərəp/,欧洲,a continent west of Asia,the EU area,western continent,European land,______ has many old and new cities.,______ shows how cultures live side by side.,欧洲有许多古老与崭新的城市。,欧洲展示文化如何比邻共存。
experience,n.,/ɪkˈspɪəriəns/,经历；阅历,something you have lived through,event,memory,practice,Travel is a good ______ for all.,Work ______ helps young people grow.,旅行是人人都该有的好经历。,工作经验帮助年轻人成长。
famous,adj.,/ˈfeɪməs/,著名的,known by many people,well-known,renowned,celebrated,She is ______ for her music.,A ______ park can put a small town on the map.,她以音乐闻名。,著名的公园能让小镇出名。
feature,n.,/ˈfiːʧə/,特色；特征,a special part or quality,trait,aspect,characteristic,A key ______ is the big window.,A city's best ______ is often its people.,一个关键特征是那扇大窗。,城市最好的特征往往是它的人民。
food-lover,n.,/fuːd/-/ˈlʌvə/,食物爱好者,a person who loves food,gourmet,foodie,eater,He is a real ______ and tries new dishes.,A ______ cares where food comes from.,他是个真正的美食爱好者，爱尝新菜。,美食爱好者关心食物来源。
Germany,n.,/ˈʤɜːməni/,德国,a country in central Europe,the German state,central European nation,EU country,______ makes fine cars and machines.,______ shows strong training for skilled work.,德国制造精良的汽车与机械。,德国展现对技能工的扎实培养。
go on a trip,phr.,/ɡəʊ/ /ɒn/ /ə/ /trɪp/,去旅行,to travel for a short time,travel,take a journey,go on holiday,We ______ to the lake in summer.,Families that ______ together build closer bonds.,我们夏天去湖边旅行。,一起旅行的家庭关系更亲密。
greeting,n.,/ˈɡriːtɪŋ/,问候；招呼,words said when people meet,hello,welcome,salutation,He gave a warm ______ to guests.,A polite ______ helps strangers feel welcome.,他向客人致以热情的问候。,礼貌的问候让陌生人感到受欢迎。
homesick,adj.,/ˈhəʊmsɪk/,想家的,sad to be away from home,lonely for home,missing home,yearning,She felt ______ at summer camp.,A ______ student needs a call from family.,她在夏令营想家。,想家的学生需要家人来电。
however,adv.,/haʊˈɛvə/,然而；不过,but; yet; on the other hand,but,still,nevertheless,"It rained; ______, we went out.","Cities grow fast; ______, green space shrinks.",下雨了；然而我们还是出去了。,城市发展快；然而绿地却在缩减。
identify,v.,/aɪˈdɛntɪfaɪ/,确认；认出,to say what something is,name,recognise,spot,Can you ______ this bird in the photo?,We should ______ problems before they grow.,你能认出照片里的鸟吗？,我们应在问题变大前识别出来。
in my opinion,phr.,/ɪn/ /maɪ/ /əˈpɪnjən/,依我看,what I think about it,I think,to me,as I see it,"______, reading helps a lot.","______, schools should teach life skills too.",依我看，阅读帮助很大。,在我看来，学校也应教生活技能。
in the countryside,phr.,/ɪn/ /ðə/ /ˈkʌntrɪsaɪd/,在乡村；在农村,"away from cities, in villages",in rural areas,in the country,outside town,They live ______ with their grandparents.,Children ______ see more stars and trees.,他们和祖父母住在乡下。,乡下的孩子看到更多星星和树木。
